# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_gate  |  Quantity: V (interface voltage)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
2; -3; -2025000000; -12; 2.3090792E-18; -2.2586809E-18
1; 4; 10015000000; -12; -2.8420842E-24; -2.7826478E-24
1; -4; -6025000000; -12; 2.2986611E-24; 1.6859553E-24
0; 5; 10025000000; -12; -1.2880266E-23; 1.875764E-24
0; 0; 0; -8; -3.0499999; 0
1; 0; 1995000000; -8; 0.11869242; 0.0001579415
0; 1; 2005000000; -8; 0.11869242; 0.00015715376
2; 0; 3990000000; -8; 1.2266954E-24; -4.8928486E-23
1; 1; 4000000000; -8; 2.0689155E-24; -6.7915524E-24
1; -1; -10000000; -8; 1.3071446E-21; -2.830566E-21
0; 2; 4010000000; -8; -2.1023233E-24; 5.5892256E-24
3; 0; 5985000000; -8; -2.8373707E-23; 1.5534505E-23
2; 1; 5995000000; -8; 4.2790647E-24; -5.3104154E-24
2; -1; 1985000000; -8; -2.9897667E-18; 3.2653679E-18
1; 2; 6005000000; -8; 6.3619045E-24; 4.276796E-24
1; -2; -2015000000; -8; 3.491846E-18; -9.0187973E-19
0; 3; 6015000000; -8; 3.4740183E-23; -4.145477E-23
4; 0; 7980000000; -8; 2.3237649E-23; 2.5690918E-23
3; 1; 7990000000; -8; 4.3872626E-24; -7.9796617E-25
3; -1; 3980000000; -8; 7.3345006E-24; 4.7446402E-24
2; 2; 8000000000; -8; 4.3902235E-24; 3.2245587E-26
2; -2; -20000000; -8; 7.1887832E-22; -1.4946118E-21
1; 3; 8010000000; -8; 2.5907183E-24; 2.746865E-24
1; -3; -4020000000; -8; -2.6016128E-25; -1.2779132E-23
0; 4; 8020000000; -8; -1.0141253E-24; -7.5465316E-24
5; 0; 9975000000; -8; 1.3745891E-23; -2.664549E-23
4; 1; 9985000000; -8; -1.0712914E-24; 3.0029783E-24
4; -1; 5975000000; -8; 2.2138621E-24; 2.7943999E-24
3; 2; 9995000000; -8; 4.9591241E-25; 3.2228544E-24
3; -2; 1975000000; -8; -2.8518756E-19; -1.8854787E-19
2; 3; 10005000000; -8; 3.1037519E-24; -4.6962774E-24
2; -3; -2025000000; -8; 3.2099602E-18; 9.731121E-19
1; 4; 10015000000; -8; 1.5033932E-24; 2.2137962E-24
1; -4; -6025000000; -8; 1.0523067E-23; -1.2376774E-24
0; 5; 10025000000; -8; -5.7496358E-24; -7.0625089E-25
