# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_drain  |  Quantity: V (interface voltage)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
1; 4; 10015000000; -12; 1.5422198E-16; -2.2619237E-15
1; -4; -6025000000; -12; 1.3258891E-16; 3.668917E-15
0; 5; 10025000000; -12; 3.1371293E-17; -4.6066231E-16
0; 0; 0; -8; 48; 0
1; 0; 1995000000; -8; -0.59611405; -0.079245121
0; 1; 2005000000; -8; -0.59611952; -0.079223115
2; 0; 3990000000; -8; -0.0002676679; -7.6702369E-07
1; 1; 4000000000; -8; -0.00053481682; -1.5292058E-06
1; -1; -10000000; -8; -0.0039082075; 0.0051449401
0; 2; 4010000000; -8; -0.00026766792; -7.6395864E-07
3; 0; 5985000000; -8; -6.3607725E-12; 1.5167174E-10
2; 1; 5995000000; -8; -1.9083694E-11; 4.5444606E-10
2; -1; 1985000000; -8; -0.0013684097; -0.0001818268
1; 2; 6005000000; -8; -1.9077676E-11; 4.5368929E-10
1; -2; -2015000000; -8; -0.0013683734; 0.00018224675
0; 3; 6015000000; -8; -6.3548932E-12; 1.5091528E-10
4; 0; 7980000000; -8; -7.1671899E-14; 1.2778517E-12
3; 1; 7990000000; -8; -2.8842738E-13; 5.1377389E-12
3; -1; 3980000000; -8; -2.5904733E-07; -7.6501493E-10
2; 2; 8000000000; -8; -4.3303786E-13; 7.7060486E-12
2; -2; -20000000; -8; -3.3221175E-06; 3.8534227E-06
1; 3; 8010000000; -8; -2.8828843E-13; 5.1249107E-12
1; -3; -4020000000; -8; -2.5904859E-07; 1.0092781E-09
0; 4; 8020000000; -8; -7.1604445E-14; 1.2714783E-12
5; 0; 9975000000; -8; 3.374684E-16; -4.9577974E-15
4; 1; 9985000000; -8; 1.6114549E-15; -2.3672866E-14
4; -1; 5975000000; -8; 1.5340931E-15; -3.8638208E-14
3; 2; 9995000000; -8; 3.1844636E-15; -4.6753271E-14
3; -2; 1975000000; -8; 2.261447E-07; 3.0532247E-08
2; 3; 10005000000; -8; 3.1837866E-15; -4.6706497E-14
2; -3; -2025000000; -8; 2.2635705E-07; -2.8831715E-08
1; 4; 10015000000; -8; 1.6107076E-15; -2.3601924E-14
1; -4; -6025000000; -8; 1.3944795E-15; 3.8321482E-14
0; 5; 10025000000; -8; 3.3724239E-16; -4.9330862E-15
