# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_drain  |  Quantity: I:M1:d (device current, A)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
2; -3; -2025000000; -12; -2.7292018E-10; -1.111507E-12
1; 4; 10015000000; -12; -1.4237897E-10; -7.4287939E-13
1; -4; -6025000000; -12; -1.388773E-10; -2.3328863E-13
0; 5; 10025000000; -12; -2.9025287E-11; -1.5520466E-13
0; 0; 0; -8; 0.049647459; 0
1; 0; 1995000000; -8; 0.0074650267; 1.0677216E-05
0; 1; 2005000000; -8; 0.0074650269; 1.0634678E-05
2; 0; 3990000000; -8; 0.0002676679; 7.6702411E-07
1; 1; 4000000000; -8; 0.00053481682; 1.5292059E-06
1; -1; -10000000; -8; 0.00053485257; -4.5568906E-08
0; 2; 4010000000; -8; 0.00026766792; 7.6395834E-07
3; 0; 5985000000; -8; 5.7045233E-06; 2.467825E-08
2; 1; 5995000000; -8; 1.7120721E-05; 7.3940721E-08
2; -1; 1985000000; -8; 1.7136279E-05; 2.2922943E-08
1; 2; 6005000000; -8; 1.7120722E-05; 7.3836873E-08
1; -2; -2015000000; -8; 1.7136295E-05; -2.9781674E-08
0; 3; 6015000000; -8; 5.7045242E-06; 2.4579572E-08
4; 0; 7980000000; -8; 6.4090312E-08; 3.8014568E-10
3; 1; 7990000000; -8; 2.5800477E-07; 1.5273014E-09
3; -1; 3980000000; -8; 2.5904736E-07; 7.6536167E-10
2; 2; 8000000000; -8; 3.8746338E-07; 2.2908262E-09
2; -2; -20000000; -8; 3.8957404E-07; -2.8104179E-10
1; 3; 8010000000; -8; 2.5800481E-07; 1.5241217E-09
1; -3; -4020000000; -8; 2.5904862E-07; -1.0090188E-09
0; 4; 8020000000; -8; 6.4090327E-08; 3.7864755E-10
5; 0; 9975000000; -8; -3.1083348E-10; -1.669928E-12
4; 1; 9985000000; -8; -1.4856767E-09; -7.8910536E-12
4; -1; 5975000000; -8; -1.4506516E-09; -3.0804999E-12
3; 2; 9995000000; -8; -2.9371015E-09; -1.5532303E-11
3; -2; 1975000000; -8; -2.8324572E-09; -9.3329929E-12
2; 3; 10005000000; -8; -2.9370992E-09; -1.5514801E-11
2; -3; -2025000000; -8; -2.8323393E-09; -1.0975214E-11
1; 4; 10015000000; -8; -1.4856687E-09; -7.8639099E-12
1; -4; -6025000000; -8; -1.4506E-09; -2.0870824E-12
0; 5; 10025000000; -8; -3.10828E-10; -1.6628538E-12
