# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF two-tone HB engine (Phase 4c).
# A future cross-check against other simulators with the identical SDD FET is owed.
# Circuit: hero5.cnl  |  Node: n_gate  |  Quantity: I:M1:g (device current, A)
# f1 = 1.9950 GHz, f2 = 2.0050 GHz  |  MaxMixOrder = 5
# Columns: k1; k2; freq_Hz; Pave_dBm; Re; Im
k1; k2; freq_Hz; Pave_dBm; Re; Im
2; -3; -2025000000; -12; -1.274368E-19; 9.4693097E-20
1; 4; 10015000000; -12; -1.632011E-19; 1.8911096E-19
1; -4; -6025000000; -12; -6.7022047E-20; 8.4481299E-20
0; 5; 10025000000; -12; 1.5269643E-19; 7.2080398E-19
0; 0; 0; -8; -0.060999999; 0
1; 0; 1995000000; -8; 0.0023738483; 3.1588299E-06
0; 1; 2005000000; -8; 0.0023738484; 3.1430752E-06
2; 0; 3990000000; -8; -6.1331737E-19; 6.1331737E-19
1; 1; 4000000000; -8; -2.1463764E-19; -1.9597502E-20
1; -1; -10000000; -8; 1.349926E-19; 1.1035758E-19
0; 2; 4010000000; -8; 8.7858138E-20; 4.9389621E-20
3; 0; 5985000000; -8; 2.1684043E-19; 1.2061749E-18
2; 1; 5995000000; -8; -1.1209007E-19; 8.4058719E-20
2; -1; 1985000000; -8; 2.4401284E-19; 8.8306681E-20
1; 2; 6005000000; -8; 1.7283763E-19; -2.9586011E-19
1; -2; -2015000000; -8; -1.3776932E-20; -9.5969606E-21
0; 3; 6015000000; -8; -2.0206067E-18; -1.2519482E-18
4; 0; 7980000000; -8; 1.2266347E-18; -1.2266347E-18
3; 1; 7990000000; -8; -5.4026886E-20; -1.853161E-19
3; -1; 3980000000; -8; 1.1095338E-19; -1.5388893E-19
2; 2; 8000000000; -8; 2.8884721E-20; -1.8186942E-19
2; -2; -20000000; -8; 2.2593077E-19; 1.2894164E-19
1; 3; 8010000000; -8; 8.8601168E-20; -1.0891733E-19
1; -3; -4020000000; -8; 2.7999144E-19; 2.9660653E-20
0; 4; 8020000000; -8; -4.8516678E-19; 7.0087882E-20
5; 0; 9975000000; -8; -1.3106741E-18; -5.9126175E-19
4; 1; 9985000000; -8; 1.3765104E-19; 1.0938337E-19
4; -1; 5975000000; -8; 4.7433845E-20; -3.2718695E-20
3; 2; 9995000000; -8; 1.4956986E-19; -2.2936533E-20
3; -2; 1975000000; -8; -4.8573611E-20; 2.1208161E-19
2; 3; 10005000000; -8; -1.9132847E-19; 5.1257844E-20
2; -3; -2025000000; -8; -4.7048971E-21; 9.9182609E-20
1; 4; 10015000000; -8; 1.7431717E-19; -2.0312825E-19
1; -4; -6025000000; -8; 7.3218224E-20; 2.9939716E-19
0; 5; 10025000000; -8; -4.2816401E-19; 3.6352328E-19
