        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.718583262718e+01,        +8.425908163179e+01,        -2.007835188401e-02,        -3.974899986840e+00
 2.00000000e+00,        -2.127730581007e+01,        +8.085513829628e+01,        -4.916023185356e-02,        -7.891428154957e+00
 3.00000000e+00,        -1.783784091087e+01,        +7.720107949806e+01,        -9.251876461124e-02,        -1.177904359241e+01
 4.00000000e+00,        -1.542235947999e+01,        +7.348999875142e+01,        -1.501461778282e-01,        -1.563271147929e+01
 5.00000000e+00,        -1.357562504332e+01,        +6.977661126500e+01,        -2.215659446750e-01,        -1.944571653764e+01
 6.00000000e+00,        -1.209391442687e+01,        +6.608623000603e+01,        -3.060744015318e-01,        -2.321140713083e+01
 7.00000000e+00,        -1.086791795814e+01,        +6.243389299410e+01,        -4.028208029529e-01,        -2.692371378405e+01
 8.00000000e+00,        -9.831873739970e+00,        +5.882978424642e+01,        -5.108538468618e-01,        -3.057736683370e+01
 9.00000000e+00,        -8.942926771088e+00,        +5.528122516810e+01,        -6.291571532126e-01,        -3.416799106834e+01
 1.00000000e+01,        -8.171440031875e+00,        +5.179355674987e+01,        -7.566790783239e-01,        -3.769213163299e+01
 1.10000000e+01,        -7.495953209292e+00,        +4.837060213012e+01,        -8.923582047797e-01,        -4.114723487309e+01
 1.20000000e+01,        -6.900349106353e+00,        +4.501495267889e+01,        -1.035144790185e+00,        -4.453159818019e+01
 1.30000000e+01,        -6.372161676629e+00,        +4.172817315755e+01,        -1.184018255499e+00,        -4.784429906372e+01
 1.40000000e+01,        -5.901514940704e+00,        +3.851096590360e+01,        -1.338000850256e+00,        -5.108511155926e+01
 1.50000000e+01,        -5.480429677780e+00,        +3.536331114124e+01,        -1.496167748622e+00,        -5.425441649583e+01
 1.60000000e+01,        -5.102354179997e+00,        +3.228459067367e+01,        -1.657653934624e+00,        -5.735311074362e+01
 1.70000000e+01,        -4.761836697360e+00,        +2.927369795180e+01,        -1.821658303235e+00,        -6.038251928576e+01
 1.80000000e+01,        -4.454290418575e+00,        +2.632913576525e+01,        -1.987445433144e+00,        -6.334431281869e+01
 1.90000000e+01,        -4.175820633282e+00,        +2.344910219637e+01,        -2.154345482691e+00,        -6.624043261240e+01
 2.00000000e+01,        -3.923094767238e+00,        +2.063156537229e+01,        -2.321752631451e+00,        -6.907302356709e+01
 2.10000000e+01,        -3.693242683269e+00,        +1.787432763525e+01,        -2.489122445211e+00,        -7.184437578648e+01
 2.20000000e+01,        -3.483778820452e+00,        +1.517507988023e+01,        -2.655968489395e+00,        -7.455687453520e+01
 2.30000000e+01,        -3.292540414886e+00,        +1.253144691762e+01,        -2.821858461302e+00,        -7.721295813577e+01
 2.40000000e+01,        -3.117637789652e+00,        +9.941024784242e+00,        -2.986410058930e+00,        -7.981508316502e+01
 2.50000000e+01,        -2.957413863241e+00,        +7.401410945425e+00,        -3.149286756347e+00,        -8.236569620452e+01
 2.60000000e+01,        -2.810410813759e+00,        +4.910228311849e+00,        -3.310193613776e+00,        -8.486721136112e+01
 2.70000000e+01,        -2.675342380085e+00,        +2.465143946388e+00,        -3.468873215339e+00,        -8.732199278327e+01
 2.80000000e+01,        -2.551070662802e+00,        +6.388326823343e-02,        -3.625101798472e+00,        -8.973234143919e+01
 2.90000000e+01,        -2.436586559952e+00,        -2.295759517115e+00,        -3.778685615967e+00,        -9.210048548282e+01
 3.00000000e+01,        -2.330993169864e+00,        -4.615914116460e+00,        -3.929457553656e+00,        -9.442857360259e+01
 3.10000000e+01,        -2.233491638458e+00,        -6.898629412981e+00,        -4.077274013097e+00,        -9.671867082061e+01
 3.20000000e+01,        -2.143369036832e+00,        -9.145870811067e+00,        -4.222012058634e+00,        -9.897275628119e+01
 3.30000000e+01,        -2.059987937094e+00,        -1.135951924968e+01,        -4.363566821003e+00,        -1.011927226344e+02
 3.40000000e+01,        -1.982777417549e+00,        -1.354137153748e+01,        -4.501849144826e+00,        -1.033803766822e+02
 3.50000000e+01,        -1.911225277492e+00,        -1.569314172083e+01,        -4.636783464138e+00,        -1.055374410089e+02
 3.60000000e+01,        -1.844871280601e+00,        -1.781646324675e+01,        -4.768305888304e+00,        -1.076655563675e+02
 3.70000000e+01,        -1.783301276775e+00,        -1.991289172628e+01,        -4.896362479808e+00,        -1.097662846330e+02
 3.80000000e+01,        -1.726142077131e+00,        -2.198390814169e+01,        -5.020907705193e+00,        -1.118411121735e+02
 3.90000000e+01,        -1.673056977050e+00,        -2.403092237248e+01,        -5.141903040725e+00,        -1.138914535162e+02
 4.00000000e+01,        -1.623741838734e+00,        -2.605527694230e+01,        -5.259315714883e+00,        -1.159186552166e+02
