        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.50000000e+00,        +2.930707320001e-11,        +2.916241921247e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +2.929422380220e-11,        +2.916418167397e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +2.928087624503e-11,        +2.916630457922e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +2.926707075021e-11,        +2.916874597833e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +2.925284962443e-11,        +2.917146247811e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.923825705266e-11,        +2.917440947523e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +2.922333888209e-11,        +2.917754139613e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.920814239768e-11,        +2.918081194211e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +2.919271609051e-11,        +2.918417433849e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +2.917710942016e-11,        +2.918758158611e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +2.916137257223e-11,        +2.919098671394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +2.914555621228e-11,        +2.919434303123e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +2.912971123752e-11,        +2.919760437791e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +2.911388852741e-11,        +2.920072537157e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +2.909813869447e-11,        +2.920366164993e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.908251183668e-11,        +2.920637010720e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e+00,        +2.906705729259e-11,        +2.920880912304e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.20000000e+00,        +2.905182340045e-11,        +2.921093878294e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e+00,        +2.903685726268e-11,        +2.921272108869e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.40000000e+00,        +2.902220451665e-11,        +2.921412015781e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +2.900790911322e-11,        +2.921510241081e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e+00,        +2.899401310394e-11,        +2.921563674537e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e+00,        +2.898055643807e-11,        +2.921569469632e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.80000000e+00,        +2.896757677044e-11,        +2.921525058074e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e+00,        +2.895510928113e-11,        +2.921428162728e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.894318650774e-11,        +2.921276808918e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e+00,        +2.893183819131e-11,        +2.921069334024e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e+00,        +2.892109113643e-11,        +2.920804395342e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.30000000e+00,        +2.891096908631e-11,        +2.920480976163e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.40000000e+00,        +2.890149261343e-11,        +2.920098390048e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +2.889267902630e-11,        +2.919656283282e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.60000000e+00,        +2.888454229267e-11,        +2.919154635496e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.70000000e+00,        +2.887709297966e-11,        +2.918593758478e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+00,        +2.887033821101e-11,        +2.917974293165e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.90000000e+00,        +2.886428164168e-11,        +2.917297204865e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.885892344985e-11,        +2.916563776721e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e+00,        +2.885426034630e-11,        +2.915775601487e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.20000000e+00,        +2.885028560119e-11,        +2.914934571635e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.30000000e+00,        +2.884698908799e-11,        +2.914042867895e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.40000000e+00,        +2.884435734427e-11,        +2.913102946262e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +2.884237364917e-11,        +2.912117523571e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+00,        +2.884101811694e-11,        +2.911089561705e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.70000000e+00,        +2.884026780618e-11,        +2.910022250552e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.80000000e+00,        +2.884009684411e-11,        +2.908918989775e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.90000000e+00,        +2.884047656536e-11,        +2.907783369526e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.884137566431e-11,        +2.906619150197e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.01000000e+01,        +2.884276036051e-11,        +2.905430241312e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+01,        +2.884459457607e-11,        +2.904220679698e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.03000000e+01,        +2.884684012432e-11,        +2.902994607040e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+01,        +2.884945690876e-11,        +2.901756246947e-11,        +0.000000000000e+00,        +0.000000000000e+00
