        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 5.50000000e+00,        -5.050307589138e+01,        +1.758157294264e+02,        -9.651966237370e-02,        -1.172750617025e+02
 5.60000000e+00,        -4.883282824133e+01,        +1.689781621414e+02,        -9.831821372252e-02,        -1.194048103630e+02
 5.70000000e+00,        -4.737483054174e+01,        +1.635141591258e+02,        -1.001311798875e-01,        -1.215345180657e+02
 5.80000000e+00,        -4.609034568735e+01,        +1.589201309015e+02,        -1.019585223002e-01,        -1.236641820166e+02
 5.90000000e+00,        -4.494707779507e+01,        +1.549054141753e+02,        -1.038001550856e-01,        -1.257937993343e+02
 6.00000000e+00,        -4.391985161565e+01,        +1.512932372815e+02,        -1.056559438438e-01,        -1.279233670710e+02
 6.10000000e+00,        -4.298928366998e+01,        +1.479708943927e+02,        -1.075257046255e-01,        -1.300528822354e+02
 6.20000000e+00,        -4.214037172628e+01,        +1.448635286887e+02,        -1.094092031166e-01,        -1.321823418153e+02
 6.30000000e+00,        -4.136137356599e+01,        +1.419196505451e+02,        -1.113061540495e-01,        -1.343117428016e+02
 6.40000000e+00,        -4.064297903564e+01,        +1.391027642526e+02,        -1.132162208552e-01,        -1.364410822128e+02
 6.50000000e+00,        -3.997771034486e+01,        +1.363863239150e+02,        -1.151390155698e-01,        -1.385703571196e+02
 6.60000000e+00,        -3.935948759565e+01,        +1.337505824656e+02,        -1.170740990065e-01,        -1.406995646707e+02
 6.70000000e+00,        -3.878331146052e+01,        +1.311805591731e+02,        -1.190209812037e-01,        -1.428287021180e+02
 6.80000000e+00,        -3.824502879418e+01,        +1.286646909405e+02,        -1.209791221565e-01,        -1.449577668424e+02
 6.90000000e+00,        -3.774115735184e+01,        +1.261939145697e+02,        -1.229479328391e-01,        -1.470867563792e+02
 7.00000000e+00,        -3.726875306957e+01,        +1.237610281408e+02,        -1.249267765205e-01,        -1.492156684441e+02
