        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +8.880275083251e+00,        -1.414700460729e-11,        +3.138570789280e+11,        +3.517234018414e-11,        +3.523517949325e-09
 2.00e+00,        +1.367871936167e+01,        +9.959709814768e-09,        +6.867027060061e+08,        +4.052522096233e-09,        +4.299194907106e-07
 3.00e+00,        +1.447185006576e+01,        +4.608847738013e-10,        +1.570007395384e+10,        +1.589222215473e-10,        +1.705323154898e-08
 4.00e+00,        +1.572908686826e+01,        +9.721407414592e-08,        +8.089922681695e+07,        +1.417520650713e-08,        +1.550454697170e-06
 5.00e+00,        +1.599699202156e+01,        +3.169389226909e-07,        +2.523671104474e+07,        +5.509507742050e-08,        +6.051744569107e-06
