# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Loadpull engine (Phase 4b-1).
# Circuit: hero3.cnl  |  f0=2.000 GHz  K=4
# Grid: 20 points  Z0=50 Ω
GridIdx; GammaRe; GammaIm; ZRe; ZIm; PavlDbm; IsTickle; Converged; Iterations; PavlW; PinDelivW; PoutW; GtDb; GpDb; BiasVLoad; BiasILoad; BiasVSrc; BiasISrc; StopReason
0; 0; 0; 50; 0; 10; 0; 1; 3; 0.01; 0.008888888888; 0.1133046559; 10.542478; 11.054003; 48; -0.066626105; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 11; 0; 1; 3; 0.01258925412; 0.0111904481; 0.1517900355; 10.812433; 11.323958; 48; -0.071354449; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 12; 0; 1; 4; 0.01584893192; 0.01408793949; 0.2058156069; 11.134783; 11.646308; 48; -0.077394009; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 13; 0; 1; 4; 0.01995262315; 0.01773566502; 0.2827375211; 11.513834; 12.02536; 48; -0.085108132; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 14; 0; 1; 4; 0.02511886432; 0.02232787939; 0.3936049129; 11.950605; 12.46213; 48; -0.09494149; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 15; 0; 1; 4; 0.0316227766; 0.02810913476; 0.5546688292; 12.440338; 12.951863; 48; -0.10740985; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 16; 0; 1; 4; 0.03981071706; 0.03538730405; 0.788752392; 12.969407; 13.480932; 48; -0.12305366; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 17; 0; 1; 4; 0.05011872336; 0.04454997632; 1.12517543; 13.512202; 14.023728; 48; -0.14232878; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 18; 0; 1; 4; 0.06309573445; 0.05608509728; 1.59568456; 14.02947; 14.540996; 48; -0.16541616; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 19; 0; 1; 4; 0.07943282347; 0.07060695419; 2.223537281; 14.470444; 14.981969; 48; -0.1919806; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 20; 0; 1; 4; 0.1; 0.08888888888; 3.006566933; 14.780709; 15.292234; 48; -0.2210014; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 21; 0; 1; 4; 0.1258925412; 0.111904481; 3.90370225; 14.914767; 15.426292; 48; -0.25085639; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 22; 0; 1; 4; 0.1584893192; 0.1408793949; 4.839304644; 14.84783; 15.359355; 48; -0.27972714; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 23; 0; 1; 4; 0.1995262315; 0.1773566502; 5.728486022; 14.580399; 15.091924; 48; -0.30613842; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 24; 0; 1; 4; 0.2511886432; 0.2232787939; 6.507780578; 14.134329; 14.645854; 48; -0.32933552; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 25; 0; 1; 4; 0.316227766; 0.2810913476; 7.152129102; 13.544353; 14.055879; 48; -0.34934115; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 26; 0; 1; 4; 0.3981071706; 0.3538730405; 7.671259669; 12.848667; 13.360192; 48; -0.36668991; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 27; 0; 1; 4; 0.5011872336; 0.4454997632; 8.091254909; 12.080159; 12.591684; 48; -0.3819562; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 28; 0; 1; 4; 0.6309573445; 0.5608509728; 8.434560534; 11.260625; 11.77215; 48; -0.39534185; -3.0499999; 0.060999999; Compression
0; 0; 0; 50; 0; 29; 0; 1; 4; 0.7943282347; 0.7060695419; 8.710774125; 10.400568; 10.912093; 48; -0.4066082; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -50; 1; 1; 5; 1E-08; 8.888888888E-09; 1.300326554E-07; 11.140524; 11.65205; 48; -0.04911305; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -20; 0; 1; 3; 1E-05; 8.888888888E-06; 0.0001300705678; 11.14179; 11.653316; 48; -0.049129856; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -19; 0; 1; 3; 1.258925412E-05; 1.11904481E-05; 0.0001637615144; 11.142118; 11.653644; 48; -0.049134212; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -18; 0; 1; 3; 1.584893192E-05; 1.408793949E-05; 0.0002061831401; 11.142531; 11.654057; 48; -0.049139696; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -17; 0; 1; 3; 1.995262315E-05; 1.773566502E-05; 0.000259600273; 11.143051; 11.654577; 48; -0.0491466; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -16; 0; 1; 3; 2.511886432E-05; 2.232787939E-05; 0.0003268666393; 11.143706; 11.655231; 48; -0.049155292; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -15; 0; 1; 3; 3.16227766E-05; 2.810913476E-05; 0.000411578794; 11.14453; 11.656055; 48; -0.049166235; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -14; 0; 1; 3; 3.981071706E-05; 3.538730405E-05; 0.0005182707556; 11.145567; 11.657092; 48; -0.049180013; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -13; 0; 1; 3; 5.011872336E-05; 4.454997632E-05; 0.0006526603824; 11.146873; 11.658398; 48; -0.04919736; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -12; 0; 1; 3; 6.309573445E-05; 5.608509728E-05; 0.0008219616757; 11.148516; 11.660041; 48; -0.049219201; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -11; 0; 1; 3; 7.943282347E-05; 7.060695419E-05; 0.001035281331; 11.150584; 11.662109; 48; -0.0492467; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -10; 0; 1; 3; 0.0001; 8.888888888E-05; 0.001304123334; 11.153187; 11.664712; 48; -0.049281326; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -9; 0; 1; 3; 0.0001258925412; 0.000111904481; 0.001643032737; 11.156462; 11.667987; 48; -0.049324927; -3.0499999; 0.060999999; Compression
1; 0.2; 0; 75; 0; -8; 0; 1; 3; 0.0001584893192; 0.0001408793949; 0.002070419643; 11.160584; 11.672109; 48; -0.049379831; -3.0499999; 0.060999999; Compression
