# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Loadpull engine (Phase 4b-1).
# Circuit: hero3.cnl  |  f0=2.000 GHz  K=4
# Grid: 20 points  Z0=50 Ω
GridIdx; GammaRe; GammaIm; ZRe; ZIm; PavlDbm; IsTickle; Converged; Iterations; PavlW; PinDelivW; PoutW; GtDb; GpDb; BiasVLoad; BiasILoad; BiasVSrc; BiasISrc; PdcW; De; Pae; StopReason
0; 0; 0; 50; 0; 0; 0; 1; 3; 0.001; 0.0008888888888; 0.008918977311; 9.5031506; 10.014676; 48; -0.050802078; -3.0499999; 0.060999999; 2.6245497; 0.0033982886; 0.0030596061; PinMax
0; 0; 0; 50; 0; 1; 0; 1; 3; 0.001258925412; 0.00111904481; 0.01131183454; 9.5353304; 10.046856; 48; -0.051241899; -3.0499999; 0.060999999; 2.6456611; 0.0042756173; 0.0038526437; PinMax
0; 0; 0; 50; 0; 2; 0; 1; 3; 0.001584893192; 0.001408793949; 0.01437356482; 9.5756449; 10.08717; 48; -0.051797031; -3.0499999; 0.060999999; 2.6723075; 0.0053787092; 0.0048515266; PinMax
0; 0; 0; 50; 0; 3; 0; 1; 3; 0.001995262315; 0.001773566502; 0.01830663745; 9.6260858; 10.137611; 48; -0.052498143; -3.0499999; 0.060999999; 2.7059608; 0.0067653002; 0.0061098707; PinMax
0; 0; 0; 50; 0; 4; 0; 1; 3; 0.002511886432; 0.002232787939; 0.02338349758; 9.6890947; 10.20062; 48; -0.053384297; -3.0499999; 0.060999999; 2.7484963; 0.0085077422; 0.0076953751; PinMax
0; 0; 0; 50; 0; 5; 0; 1; 3; 0.00316227766; 0.002810913476; 0.02997534567; 9.767642; 10.279167; 48; -0.054505363; -3.0499999; 0.060999999; 2.8023074; 0.010696666; 0.0096935947; PinMax
0; 0; 0; 50; 0; 6; 0; 1; 3; 0.003981071706; 0.003538730405; 0.03859495418; 9.8653053; 10.376831; 48; -0.055925166; -3.0499999; 0.060999999; 2.8704579; 0.013445574; 0.012212763; PinMax
0; 0; 0; 50; 0; 7; 0; 1; 3; 0.005011872336; 0.004454997632; 0.04996128607; 9.9863361; 10.497861; 48; -0.05772562; -3.0499999; 0.060999999; 2.9568797; 0.016896624; 0.015389969; PinMax
0; 0; 0; 50; 0; 8; 0; 1; 3; 0.006309573445; 0.005608509728; 0.06509827135; 10.135695; 10.64722; 48; -0.060012118; -3.0499999; 0.060999999; 3.0666317; 0.021227939; 0.019399057; PinMax
0; 0; 0; 50; 0; 9; 0; 1; 3; 0.007943282347; 0.007060695419; 0.08548736982; 10.31902; 10.830545; 48; -0.062920528; -3.0499999; 0.060999999; 3.2062353; 0.026662849; 0.024460673; PinMax
0; 0; 0; 50; 0; 10; 0; 1; 3; 0.01; 0.008888888888; 0.1133047548; 10.542481; 11.054007; 48; -0.066626105; -3.0499999; 0.060999999; 3.384103; 0.033481473; 0.030854813; PinMax
1; 0.2; 0; 75; 0; -50; 1; 1; 3; 1E-08; 8.888888888E-09; 1.300341837E-07; 11.140575; 11.652101; 48; -0.04911305; -3.0499999; 0.060999999; 2.5434764; 5.1124588E-08; 4.7629809E-08; PinMax
1; 0.2; 0; 75; 0; -20; 0; 1; 3; 1E-05; 8.888888888E-06; 0.0001300705677; 11.14179; 11.653316; 48; -0.049129856; -3.0499999; 0.060999999; 2.5442831; 5.1122679E-05; 4.7629008E-05; PinMax
1; 0.2; 0; 75; 0; -19; 0; 1; 2; 1.258925412E-05; 1.11904481E-05; 0.000163760524; 11.142092; 11.653617; 48; -0.049134212; -3.0499999; 0.060999999; 2.5444922; 6.4358824E-05; 5.9960914E-05; PinMax
1; 0.2; 0; 75; 0; -18; 0; 1; 2; 1.584893192E-05; 1.408793949E-05; 0.0002061815705; 11.142498; 11.654024; 48; -0.049139696; -3.0499999; 0.060999999; 2.5447554; 8.1022157E-05; 7.5486089E-05; PinMax
1; 0.2; 0; 75; 0; -17; 0; 1; 2; 1.995262315E-05; 1.773566502E-05; 0.0002595977851; 11.14301; 11.654535; 48; -0.0491466; -3.0499999; 0.060999999; 2.5450868; 0.00010199958; 9.5030991E-05; PinMax
1; 0.2; 0; 75; 0; -16; 0; 1; 2; 2.511886432E-05; 2.232787939E-05; 0.000326862696; 11.143654; 11.655179; 48; -0.049155292; -3.0499999; 0.060999999; 2.545504; 0.00012840785; 0.00011963635; PinMax
1; 0.2; 0; 75; 0; -15; 0; 1; 2; 3.16227766E-05; 2.810913476E-05; 0.0004115725439; 11.144464; 11.655989; 48; -0.049166235; -3.0499999; 0.060999999; 2.5460293; 0.00016165271; 0.00015061233; PinMax
1; 0.2; 0; 75; 0; -14; 0; 1; 3; 3.981071706E-05; 3.538730405E-05; 0.0005182707562; 11.145567; 11.657092; 48; -0.049180013; -3.0499999; 0.060999999; 2.5466906; 0.00020350754; 0.00018961214; PinMax
1; 0.2; 0; 75; 0; -13; 0; 1; 3; 5.011872336E-05; 4.454997632E-05; 0.0006526603834; 11.146873; 11.658398; 48; -0.04919736; -3.0499999; 0.060999999; 2.5475233; 0.00025619408; 0.00023870652; PinMax
1; 0.2; 0; 75; 0; -12; 0; 1; 3; 6.309573445E-05; 5.608509728E-05; 0.0008219616772; 11.148516; 11.660041; 48; -0.049219201; -3.0499999; 0.060999999; 2.5485716; 0.00032251857; 0.00030051209; PinMax
1; 0.2; 0; 75; 0; -11; 0; 1; 3; 7.943282347E-05; 7.060695419E-05; 0.001035281333; 11.150584; 11.662109; 48; -0.0492467; -3.0499999; 0.060999999; 2.5498916; 0.00040600994; 0.00037831976; PinMax
1; 0.2; 0; 75; 0; -10; 0; 1; 3; 0.0001; 8.888888888E-05; 0.001304123338; 11.153187; 11.664712; 48; -0.049281326; -3.0499999; 0.060999999; 2.5515536; 0.00051110951; 0.00047627235; PinMax
1; 0.2; 0; 75; 0; -9; 0; 1; 3; 0.0001258925412; 0.000111904481; 0.001643032744; 11.156462; 11.667987; 48; -0.049324927; -3.0499999; 0.060999999; 2.5536465; 0.0006434065; 0.00059958506; PinMax
1; 0.2; 0; 75; 0; -8; 0; 1; 3; 0.0001584893192; 0.0001408793949; 0.002070419653; 11.160584; 11.672109; 48; -0.049379831; -3.0499999; 0.060999999; 2.5562819; 0.00080993401; 0.00075482296; PinMax
1; 0.2; 0; 75; 0; -7; 0; 1; 3; 0.0001995262315; 0.0001773566502; 0.002609618049; 11.165769; 11.677295; 48; -0.049448976; -3.0499999; 0.060999999; 2.5596008; 0.001019541; 0.00095025028; PinMax
1; 0.2; 0; 75; 0; -6; 0; 1; 3; 0.0002511886432; 0.0002232787939; 0.003290252907; 11.172293; 11.683818; 48; -0.049536061; -3.0499999; 0.060999999; 2.5637809; 0.0012833596; 0.00119627; PinMax
1; 0.2; 0; 75; 0; -5; 0; 1; 3; 0.000316227766; 0.0002810913476; 0.00415001558; 11.180497; 11.692022; 48; -0.049645753; -3.0499999; 0.060999999; 2.5690461; 0.0016153916; 0.0015059769; PinMax
1; 0.2; 0; 75; 0; -4; 0; 1; 3; 0.0003981071706; 0.0003538730405; 0.005236985225; 11.190813; 11.702339; 48; -0.049783941; -3.0499999; 0.060999999; 2.5756792; 0.0020332444; 0.0018958542; PinMax
1; 0.2; 0; 75; 0; -3; 0; 1; 3; 0.0005011872336; 0.0004454997632; 0.006612688885; 11.203781; 11.715306; 48; -0.049958056; -3.0499999; 0.060999999; 2.5840367; 0.0025590538; 0.0023866492; PinMax
1; 0.2; 0; 75; 0; -2; 0; 1; 3; 0.0006309573445; 0.0005608509728; 0.008356173273; 11.220074; 11.7316; 48; -0.050177487; -3.0499999; 0.060999999; 2.5945694; 0.0032206398; 0.0030044763; PinMax
