# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Quantity: V
GridIdx; PavlDbm; HarmonicK; FreqHz; NodeIdx; NodeName; Re; Im
0; -15; 1; 2000000000; 0; n_gate; 0.05301804858; 5.62120057E-14
0; -15; 2; 4000000000; 0; n_gate; 0; 0
0; -15; 3; 6000000000; 0; n_gate; 5.592592194E-25; 2.633655084E-25
0; -15; 4; 8000000000; 0; n_gate; 0; 0
0; -15; 5; 1E+10; 0; n_gate; -1.445642961E-24; 6.182449668E-25
0; -15; 0; 0; 1; n_drain; 47.99999995; 0
0; -15; 1; 2000000000; 1; n_drain; -0.1987469173; 2.629239803E-13
0; -15; 2; 4000000000; 1; n_drain; -5.318943555E-05; 2.115027921E-15
0; -15; 3; 6000000000; 1; n_drain; -5.087054861E-13; 1.349383248E-17
0; -15; 4; 8000000000; 1; n_drain; -2.590665207E-15; 5.153913861E-20
0; -15; 5; 1E+10; 1; n_drain; 4.981180557E-18; -7.948788519E-23
0; -14; 0; 0; 0; n_gate; -3.049999939; 0
0; -14; 1; 2000000000; 0; n_gate; 0.05948722892; 6.310940702E-14
0; -14; 2; 4000000000; 0; n_gate; 0; 0
0; -14; 3; 6000000000; 0; n_gate; -8.717022613E-26; -3.466349671E-25
0; -14; 4; 8000000000; 0; n_gate; 0; 0
0; -14; 5; 1E+10; 0; n_gate; -8.283454658E-25; -6.794393822E-25
0; -14; 0; 0; 1; n_drain; 47.99999995; 0
0; -14; 1; 2000000000; 1; n_drain; -0.2230243248; 2.950281981E-13
0; -14; 2; 4000000000; 1; n_drain; -6.696491841E-05; 2.663826148E-15
0; -14; 3; 6000000000; 1; n_drain; -7.185566865E-13; 1.906030849E-17
0; -14; 4; 8000000000; 1; n_drain; -4.105382671E-15; 8.167399317E-20
0; -14; 5; 1E+10; 1; n_drain; 8.777892119E-18; -1.402751471E-22
0; -13; 0; 0; 0; n_gate; -3.049999939; 0
0; -13; 1; 2000000000; 0; n_gate; 0.06674576864; 7.085516915E-14
0; -13; 2; 4000000000; 0; n_gate; 0; 0
0; -13; 3; 6000000000; 0; n_gate; 2.873559417E-26; -1.09593294E-24
0; -13; 4; 8000000000; 0; n_gate; 0; 0
0; -13; 5; 1E+10; 0; n_gate; 4.486155022E-25; 1.028102318E-24
0; -13; 0; 0; 1; n_drain; 47.99999995; 0
0; -13; 1; 2000000000; 1; n_drain; -0.2502750033; 3.307823517E-13
0; -13; 2; 4000000000; 1; n_drain; -8.430920331E-05; 3.353663443E-15
0; -13; 3; 6000000000; 1; n_drain; -1.014972474E-12; 2.69229828E-17
0; -13; 4; 8000000000; 1; n_drain; -6.505376538E-15; 1.294203541E-19
0; -13; 5; 1E+10; 1; n_drain; 1.56828582E-17; -2.505025631E-22
0; -12; 0; 0; 0; n_gate; -3.049999939; 0
0; -12; 1; 2000000000; 0; n_gate; 0.07488998417; 7.944823086E-14
0; -12; 2; 4000000000; 0; n_gate; 0; 0
0; -12; 3; 6000000000; 0; n_gate; 9.620459978E-25; 1.277777008E-24
0; -12; 4; 8000000000; 0; n_gate; 0; 0
0; -12; 5; 1E+10; 0; n_gate; 5.93399857E-25; 6.27056216E-25
0; -12; 0; 0; 1; n_drain; 47.99999995; 0
0; -12; 1; 2000000000; 1; n_drain; -0.2808662758; 3.714022327E-13
0; -12; 2; 4000000000; 1; n_drain; -0.0001061475007; 4.223075615E-15
0; -12; 3; 6000000000; 1; n_drain; -1.433658478E-12; 3.802897181E-17
0; -12; 4; 8000000000; 1; n_drain; -1.030792971E-14; 2.050697458E-19
0; -12; 5; 1E+10; 1; n_drain; 2.794145926E-17; -4.456047504E-22
0; -11; 0; 0; 0; n_gate; -3.049999939; 0
0; -11; 1; 2000000000; 0; n_gate; 0.08402794428; 8.915459921E-14
0; -11; 2; 4000000000; 0; n_gate; -1.414617485E-24; 9.452986021E-25
0; -11; 3; 6000000000; 0; n_gate; -5.850504379E-25; -9.267938865E-25
0; -11; 4; 8000000000; 0; n_gate; 0; 0
0; -11; 5; 1E+10; 0; n_gate; -5.717862312E-25; -1.379155022E-24
0; -11; 0; 0; 1; n_drain; 47.99999995; 0
0; -11; 1; 2000000000; 1; n_drain; -0.3152121529; -2.069648796E-13
0; -11; 2; 4000000000; 1; n_drain; -0.0001336452567; -6.227746531E-15
0; -11; 3; 6000000000; 1; n_drain; -2.025046169E-12; 5.371357887E-17
0; -11; 4; 8000000000; 1; n_drain; -1.63322891E-14; 3.337547909E-19
0; -11; 5; 1E+10; 1; n_drain; 4.976028987E-17; 1.14624888E-20
0; -10; 0; 0; 0; n_gate; -3.049999939; 0
0; -10; 1; 2000000000; 0; n_gate; 0.09428090416; 1.000338229E-13
0; -10; 2; 4000000000; 0; n_gate; -1.465200897E-24; -3.318666435E-25
0; -10; 3; 6000000000; 0; n_gate; 1.691610162E-25; -2.684735619E-25
0; -10; 4; 8000000000; 0; n_gate; 0; 0
0; -10; 5; 1E+10; 0; n_gate; 1.140011667E-24; 5.979654366E-25
0; -10; 0; 0; 1; n_drain; 47.99999995; 0
0; -10; 1; 2000000000; 1; n_drain; -0.3537798007; 4.677855188E-13
