# SELF-GENERATED REGRESSION DATA — NOT INDEPENDENTLY VALIDATED
# Generated by circuitRF Loadpull engine (Phase 4b-1).
# Circuit: hero3.cnl  |  f0=2.000 GHz  K=5
# Grid: 15 points  Z0=50 Ω
GridIdx; GammaRe; GammaIm; ZRe; ZIm; PavlDbm; IsTickle; Converged; Iterations; PavlW; PinDelivW; PoutW; GtDb; GpDb; BiasVLoad; BiasILoad; BiasVSrc; BiasISrc; PdcW; De; Pae; StopReason
0; 0.09090909091; 0; 60; 0; -50; 1; 1; 3; 1E-08; 8.888888888E-09; 1.039966113E-07; 10.170192; 10.681717; 48; -0.04911305; -3.0499999; 0.060999999; 2.5434764; 4.0887586E-08; 3.7392807E-08; Compression
0; 0.09090909091; 0; 60; 0; -20; 0; 1; 3; 1E-05; 8.888888888E-06; 0.000104026918; 10.171457; 10.682983; 48; -0.049129851; -3.0499999; 0.060999999; 2.5442828; 4.0886538E-05; 3.7392867E-05; Compression
0; 0.09090909091; 0; 60; 0; -19; 0; 1; 3; 1.258925412E-05; 1.11904481E-05; 0.0001309720202; 10.171785; 10.68331; 48; -0.049134206; -3.0499999; 0.060999999; 2.5444919; 5.1472761E-05; 4.707485E-05; Compression
0; 0.09090909091; 0; 60; 0; -18; 0; 1; 3; 1.584893192E-05; 1.408793949E-05; 0.0001648996791; 10.172198; 10.683723; 48; -0.049139688; -3.0499999; 0.060999999; 2.544755; 6.4799825E-05; 5.9263756E-05; Compression
0; 0.09090909091; 0; 60; 0; -17; 0; 1; 3; 1.995262315E-05; 1.773566502E-05; 0.0002076212403; 10.172718; 10.684243; 48; -0.04914659; -3.0499999; 0.060999999; 2.5450863; 8.1577288E-05; 7.4608698E-05; Compression
0; 0.09090909091; 0; 60; 0; -16; 0; 1; 3; 2.511886432E-05; 2.232787939E-05; 0.0002614190324; 10.173372; 10.684897; 48; -0.04915528; -3.0499999; 0.060999999; 2.5455034; 0.00010269836; 9.3926864E-05; Compression
0; 0.09090909091; 0; 60; 0; -15; 0; 1; 3; 3.16227766E-05; 2.810913476E-05; 0.0003291694761; 10.174196; 10.685721; 48; -0.04916622; -3.0499999; 0.060999999; 2.5460285; 0.00012928743; 0.00011824704; Compression
0; 0.09090909091; 0; 60; 0; -14; 0; 1; 3; 3.981071706E-05; 3.538730405E-05; 0.0004144987454; 10.175232; 10.686757; 48; -0.049179994; -3.0499999; 0.060999999; 2.5466897; 0.00016275982; 0.0001488644; Compression
0; 0.09090909091; 0; 60; 0; -13; 0; 1; 3; 5.011872336E-05; 4.454997632E-05; 0.0005219798108; 10.176537; 10.688062; 48; -0.049197336; -3.0499999; 0.060999999; 2.5475221; 0.00020489707; 0.0001874095; Compression
0; 0.09090909091; 0; 60; 0; -12; 0; 1; 3; 6.309573445E-05; 5.608509728E-05; 0.0006573822073; 10.178179; 10.689705; 48; -0.04921917; -3.0499999; 0.060999999; 2.5485701; 0.00025794158; 0.00023593508; Compression
