        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 4.50000000e+00,        +1.414213562373e-01,        +1.468044282906e-01,        -9.226193686991e-04,        -1.713024418891e-02,        -1.388110281470e-01
 4.60000000e+00,        +1.414213562373e-01,        +1.466711907502e-01,        -1.100047691293e-03,        -2.232552340055e-02,        -1.380460133590e-01
 4.70000000e+00,        +1.414213562373e-01,        +1.465227434550e-01,        -1.266656570638e-03,        -2.748777619683e-02,        -1.370867799086e-01
 4.80000000e+00,        +1.414213562373e-01,        +1.463599630881e-01,        -1.421255247845e-03,        -3.260976596361e-02,        -1.359346835464e-01
 4.90000000e+00,        +1.414213562373e-01,        +1.461838186670e-01,        -1.562723465453e-03,        -3.768430536208e-02,        -1.345913475363e-01
 5.00000000e+00,        +1.414213562373e-01,        +1.459953659371e-01,        -1.690018617186e-03,        -4.270426601143e-02,        -1.330586615746e-01
 5.10000000e+00,        +1.414213562373e-01,        +1.457957412103e-01,        -1.802182457219e-03,        -4.766258824290e-02,        -1.313387803833e-01
 5.20000000e+00,        +1.414213562373e-01,        +1.455861546794e-01,        -1.898347325328e-03,        -5.255229091736e-02,        -1.294341219591e-01
 5.30000000e+00,        +1.414213562373e-01,        +1.453678832494e-01,        -1.977741846835e-03,        -5.736648129611e-02,        -1.273473654640e-01
 5.40000000e+00,        +1.414213562373e-01,        +1.451422629231e-01,        -2.039696068973e-03,        -6.209836495222e-02,        -1.250814487370e-01
 5.50000000e+00,        +1.414213562373e-01,        +1.449106807872e-01,        -2.083645998380e-03,        -6.674125570724e-02,        -1.226395654132e-01
 5.60000000e+00,        +1.414213562373e-01,        +1.446745666441e-01,        -2.109137507718e-03,        -7.128858557535e-02,        -1.200251616320e-01
 5.70000000e+00,        +1.414213562373e-01,        +1.444353843403e-01,        -2.115829583027e-03,        -7.573391469505e-02,        -1.172419323213e-01
 5.80000000e+00,        +1.414213562373e-01,        +1.441946228414e-01,        -2.103496887206e-03,        -8.007094122565e-02,        -1.142938170429e-01
 5.90000000e+00,        +1.414213562373e-01,        +1.439537871098e-01,        -2.072031619103e-03,        -8.429351118395e-02,        -1.111849953885e-01
 6.00000000e+00,        +1.414213562373e-01,        +1.437143888390e-01,        -2.021444651941e-03,        -8.839562819426e-02,        -1.079198819145e-01
 6.10000000e+00,        +1.414213562373e-01,        +1.434779371034e-01,        -1.951865939262e-03,        -9.237146312304e-02,        -1.045031206100e-01
