        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.50000000e+00,        +2.980907181895e-11,        +2.918990297319e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +2.980371262311e-11,        +2.918859055327e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +2.979651803033e-11,        +2.918901716654e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +2.978754166554e-11,        +2.919109511277e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +2.977684381296e-11,        +2.919473059376e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.976449110514e-11,        +2.919982424903e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +2.975055618523e-11,        +2.920627171606e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.973511734376e-11,        +2.921396421239e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +2.971825813175e-11,        +2.922278913620e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +2.970006695167e-11,        +2.923263068203e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +2.968063662826e-11,        +2.924337046847e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +2.966006396112e-11,        +2.925488817409e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +2.963844926120e-11,        +2.926706217827e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +2.961589587337e-11,        +2.927977020325e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +2.959250968734e-11,        +2.929288995394e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.956839863941e-11,        +2.930629975180e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e+00,        +2.954367220735e-11,        +2.931987915940e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.20000000e+00,        +2.951844090094e-11,        +2.933350959210e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e+00,        +2.949281575079e-11,        +2.934707491347e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.40000000e+00,        +2.946690779785e-11,        +2.936046201124e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +2.944082758620e-11,        +2.937356135060e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e+00,        +2.941468466168e-11,        +2.938626750183e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e+00,        +2.938858707888e-11,        +2.939847963950e-11,        +0.000000000000e+00,        +0.000000000000e+00
