        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 5.50000000e+00,        -3.083099708746e+01,        -3.084348687682e+01,        -1.110991465801e-01,        -1.185553222368e+02
 5.60000000e+00,        -3.124017880749e+01,        -3.295634827518e+01,        -1.126045478576e-01,        -1.207080673906e+02
 5.70000000e+00,        -3.168735069819e+01,        -3.506862397871e+01,        -1.141213876546e-01,        -1.228609519966e+02
 5.80000000e+00,        -3.217681240378e+01,        -3.717997834252e+01,        -1.156519054278e-01,        -1.250139738130e+02
 5.90000000e+00,        -3.271381616234e+01,        -3.928998586688e+01,        -1.171982953467e-01,        -1.271671293317e+02
 6.00000000e+00,        -3.330486150952e+01,        -4.139809459139e+01,        -1.187626911297e-01,        -1.293204137991e+02
 6.10000000e+00,        -3.395811462957e+01,        -4.350357023794e+01,        -1.203471510584e-01,        -1.314738212453e+02
 6.20000000e+00,        -3.468402140299e+01,        -4.560540809414e+01,        -1.219536432780e-01,        -1.336273445210e+02
 6.30000000e+00,        -3.549623241965e+01,        -4.770218852430e+01,        -1.235840314904e-01,        -1.357809753425e+02
 6.40000000e+00,        -3.641305213277e+01,        -4.979182895004e+01,        -1.252400611420e-01,        -1.379347043454e+02
 6.50000000e+00,        -3.745981447143e+01,        -5.187113395966e+01,        -1.269233462106e-01,        -1.400885211441e+02
 6.60000000e+00,        -3.867300107454e+01,        -5.393492171423e+01,        -1.286353566876e-01,        -1.422424144005e+02
 6.70000000e+00,        -4.010790378238e+01,        -5.597417439477e+01,        -1.303774068492e-01,        -1.443963718980e+02
 6.80000000e+00,        -4.185426728387e+01,        -5.797164966598e+01,        -1.321506444073e-01,        -1.465503806226e+02
 6.90000000e+00,        -4.407257526750e+01,        -5.988968100179e+01,        -1.339560406229e-01,        -1.487044268504e+02
 7.00000000e+00,        -4.709582184444e+01,        -6.162710989535e+01,        -1.357943814589e-01,        -1.508584962397e+02
 7.10000000e+00,        -5.182380155432e+01,        -6.278786694607e+01,        -1.376662598446e-01,        -1.530125739283e+02
 7.20000000e+00,        -6.308616584731e+01,        -5.874231683436e+01,        -1.395720691142e-01,        -1.551666446357e+02
 7.30000000e+00,        -5.849795294735e+01,        +1.056352324328e+02,        -1.415119976757e-01,        -1.573206927677e+02
 7.40000000e+00,        -5.025739042794e+01,        +1.065649663608e+02,        -1.434860249574e-01,        -1.594747025256e+02
 7.50000000e+00,        -4.609658761814e+01,        +1.051666416456e+02,        -1.454939186716e-01,        -1.616286580161e+02
 7.60000000e+00,        -4.329457830218e+01,        +1.033623840623e+02,        -1.475352334242e-01,        -1.637825433638e+02
 7.70000000e+00,        -4.118235822309e+01,        +1.014149617597e+02,        -1.496093106918e-01,        -1.659363428243e+02
 7.80000000e+00,        -3.948972643085e+01,        +9.940053244555e+01,        -1.517152801782e-01,        -1.680900408975e+02
 7.90000000e+00,        -3.808032079387e+01,        +9.734933008925e+01,        -1.538520625506e-01,        -1.702436224396e+02
 8.00000000e+00,        -3.687563965281e+01,        +9.527575195696e+01,        -1.560183735493e-01,        -1.723970727749e+02
 8.10000000e+00,        -3.582633355798e+01,        +9.318753174000e+01,        -1.582127294528e-01,        -1.745503778045e+02
 8.20000000e+00,        -3.489935286660e+01,        +9.108919812215e+01,        -1.604334538726e-01,        -1.767035241124e+02
 8.30000000e+00,        -3.407148063223e+01,        +8.898358136159e+01,        -1.626786858408e-01,        -1.788564990683e+02
 8.40000000e+00,        -3.332578591279e+01,        +8.687254263709e+01,        -1.649463891470e-01,        +1.789907090743e+02
 8.50000000e+00,        -3.264954527763e+01,        +8.475735689064e+01,        -1.672343628703e-01,        +1.768381110844e+02
 8.60000000e+00,        -3.203295866438e+01,        +8.263892710832e+01,        -1.695402530456e-01,        +1.746857166660e+02
 8.70000000e+00,        -3.146832105008e+01,        +8.051791068677e+01,        -1.718615653936e-01,        +1.725335343760e+02
 8.80000000e+00,        -3.094946861887e+01,        +7.839479725718e+01,        -1.741956790400e-01,        +1.703815715499e+02
 8.90000000e+00,        -3.047139705116e+01,        +7.626995839993e+01,        -1.765398611375e-01,        +1.682298342335e+02
 9.00000000e+00,        -3.002999151188e+01,        +7.414368041114e+01,        -1.788912823042e-01,        +1.660783271232e+02
 9.10000000e+00,        -2.962183130272e+01,        +7.201618649026e+01,        -1.812470327808e-01,        +1.639270535143e+02
 9.20000000e+00,        -2.924404572536e+01,        +6.988765212157e+01,        -1.836041392080e-01,        +1.617760152573e+02
 9.30000000e+00,        -2.889420587460e+01,        +6.775821595969e+01,        -1.859595819195e-01,        +1.596252127239e+02
