        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 5.50000000e+00,        -4.569825615821e+01,        +1.593065575709e+02,        -2.051528943728e-02,        -1.169512840733e+02
 5.60000000e+00,        -4.471779921969e+01,        +1.566076472655e+02,        -2.132747114839e-02,        -1.190779503171e+02
 5.70000000e+00,        -4.382258145864e+01,        +1.540048312441e+02,        -2.215702520355e-02,        -1.212045993521e+02
 5.80000000e+00,        -4.299958311780e+01,        +1.514749578289e+02,        -2.300378598708e-02,        -1.233312280322e+02
 5.90000000e+00,        -4.223873230640e+01,        +1.490017101188e+02,        -2.386754870545e-02,        -1.254578331658e+02
 6.00000000e+00,        -4.153208110396e+01,        +1.465732586217e+02,        -2.474806803038e-02,        -1.275844115331e+02
 6.10000000e+00,        -4.087324995323e+01,        +1.441808177368e+02,        -2.564505692922e-02,        -1.297109599046e+02
 6.20000000e+00,        -4.025704233156e+01,        +1.418177249689e+02,        -2.655818569889e-02,        -1.318374750606e+02
 6.30000000e+00,        -3.967917090764e+01,        +1.394788347989e+02,        -2.748708121769e-02,        -1.339639538119e+02
 6.40000000e+00,        -3.913605871059e+01,        +1.371601086084e+02,        -2.843132642942e-02,        -1.360903930205e+02
 6.50000000e+00,        -3.862469200295e+01,        +1.348583304987e+02,        -2.939046007174e-02,        -1.382167896212e+02
 6.60000000e+00,        -3.814250956415e+01,        +1.325709061158e+02,        -3.036397666021e-02,        -1.403431406444e+02
 6.70000000e+00,        -3.768731811163e+01,        +1.302957175061e+02,        -3.135132673744e-02,        -1.424694432379e+02
 6.80000000e+00,        -3.725722681157e+01,        +1.280310165923e+02,        -3.235191739529e-02,        -1.445956946900e+02
 6.90000000e+00,        -3.685059595156e+01,        +1.257753457749e+02,        -3.336511307632e-02,        -1.467218924525e+02
 7.00000000e+00,        -3.646599626971e+01,        +1.235274779094e+02,        -3.439023665872e-02,        -1.488480341629e+02
 7.10000000e+00,        -3.610217640768e+01,        +1.212863703378e+02,        -3.542657082733e-02,        -1.509741176674e+02
 7.20000000e+00,        -3.575803663147e+01,        +1.190511292574e+02,        -3.647335973085e-02,        -1.531001410427e+02
 7.30000000e+00,        -3.543260744200e+01,        +1.168209817885e+02,        -3.752981092396e-02,        -1.552261026176e+02
 7.40000000e+00,        -3.512503204004e+01,        +1.145952538425e+02,        -3.859509759042e-02,        -1.573520009938e+02
 7.50000000e+00,        -3.483455185911e+01,        +1.123733524046e+02,        -3.966836104136e-02,        -1.594778350658e+02
 7.60000000e+00,        -3.456049456316e+01,        +1.101547512090e+02,        -4.074871348103e-02,        -1.616036040398e+02
 7.70000000e+00,        -3.430226404196e+01,        +1.079389790409e+02,        -4.183524102985e-02,        -1.637293074513e+02
 7.80000000e+00,        -3.405933203971e+01,        +1.057256100873e+02,        -4.292700699272e-02,        -1.658549451817e+02
 7.90000000e+00,        -3.383123113048e+01,        +1.035142558953e+02,        -4.402305535853e-02,        -1.679805174728e+02
 8.00000000e+00,        -3.361754881362e+01,        +1.013045585961e+02,        -4.512241451491e-02,        -1.701060249402e+02
 8.10000000e+00,        -3.341792254900e+01,        +9.909618512729e+01,        -4.622410116005e-02,        -1.722314685849e+02
 8.20000000e+00,        -3.323203558796e+01,        +9.688882224379e+01,        -4.732712439204e-02,        -1.743568498024e+02
 8.30000000e+00,        -3.305961348486e+01,        +9.468217214650e+01,        -4.843048995411e-02,        -1.764821703908e+02
 8.40000000e+00,        -3.290042119686e+01,        +9.247594859235e+01,        -4.953320461293e-02,        -1.786074325558e+02
 8.50000000e+00,        -3.275426069825e+01,        +9.026987337117e+01,        -5.063428064513e-02,        +1.792673610857e+02
 8.60000000e+00,        -3.262096905073e+01,        +8.806367305291e+01,        -5.173274040665e-02,        +1.771422075048e+02
 8.70000000e+00,        -3.250041688385e+01,        +8.585707592182e+01,        -5.282762095746e-02,        +1.750171032617e+02
 8.80000000e+00,        -3.239250725044e+01,        +8.364980902274e+01,        -5.391797871410e-02,        +1.728920445099e+02
 8.90000000e+00,        -3.229717483104e+01,        +8.144159525051e+01,        -5.500289410085e-02,        +1.707670270018e+02
 9.00000000e+00,        -3.221438546988e+01,        +7.923215041640e+01,        -5.608147617027e-02,        +1.686420460977e+02
 9.10000000e+00,        -3.214413603212e+01,        +7.702118022574e+01,        -5.715286716313e-02,        +1.665170967766e+02
 9.20000000e+00,        -3.208645457962e+01,        +7.480837709829e+01,        -5.821624697740e-02,        +1.643921736496e+02
 9.30000000e+00,        -3.204140086927e+01,        +7.259341675857e+01,        -5.927083751625e-02,        +1.622672709763e+02
 9.40000000e+00,        -3.200906718526e+01,        +7.037595451501e+01,        -6.031590688455e-02,        +1.601423826823e+02
 9.50000000e+00,        -3.198957952424e+01,        +6.815562113597e+01,        -6.135077340440e-02,        +1.580175023803e+02
 9.60000000e+00,        -3.198309916072e+01,        +6.593201821563e+01,        -6.237480942004e-02,        +1.558926233926e+02
 9.70000000e+00,        -3.198982462954e+01,        +6.370471290298e+01,        -6.338744486380e-02,        +1.537677387762e+02
 9.80000000e+00,        -3.200999417295e+01,        +6.147323184130e+01,        -6.438817055531e-02,        +1.516428413495e+02
 9.90000000e+00,        -3.204388871316e+01,        +5.923705413218e+01,        -6.537654120747e-02,        +1.495179237214e+02
 1.00000000e+01,        -3.209183542624e+01,        +5.699560309472e+01,        -6.635217811393e-02,        +1.473929783216e+02
 1.01000000e+01,        -3.215421201258e+01,        +5.474823653442e+01,        -6.731477149456e-02,        +1.452679974331e+02
 1.02000000e+01,        -3.223145178234e+01,        +5.249423516292e+01,        -6.826408247656e-02,        +1.431429732255e+02
 1.03000000e+01,        -3.232404970354e+01,        +5.023278871328e+01,        -6.919994469149e-02,        +1.410178977902e+02
 1.04000000e+01,        -3.243256959724e+01,        +4.796297916877e+01,        -7.012226546975e-02,        +1.388927631764e+02
 1.05000000e+01,        -3.255765271140e+01,        +4.568376035356e+01,        -7.103102661687e-02,        +1.367675614276e+02
 1.06000000e+01,        -3.270002796481e+01,        +4.339393290641e+01,        -7.192628475770e-02,        +1.346422846194e+02
 1.07000000e+01,        -3.286052423121e+01,        +4.109211335062e+01,        -7.280817123775e-02,        +1.325169248976e+02
 1.08000000e+01,        -3.304008513536e+01,        +3.877669555082e+01,        -7.367689157291e-02,        +1.303914745156e+02
 1.09000000e+01,        -3.323978696826e+01,        +3.644580226256e+01,        -7.453272444166e-02,        +1.282659258733e+02
 1.10000000e+01,        -3.346086050824e+01,        +3.409722366108e+01,        -7.537602021690e-02,        +1.261402715548e+02
 1.11000000e+01,        -3.370471777775e+01,        +3.172833857070e+01,        -7.620719903718e-02,        +1.240145043652e+02
 1.12000000e+01,        -3.397298509496e+01,        +2.933601243986e+01,        -7.702674841985e-02,        +1.218886173678e+02
 1.13000000e+01,        -3.426754423466e+01,        +2.691646365468e+01,        -7.783522042216e-02,        +1.197626039194e+02
 1.14000000e+01,        -3.459058414531e+01,        +2.446508613933e+01,        -7.863322835881e-02,        +1.176364577044e+02
 1.15000000e+01,        -3.494466656251e+01,        +2.197621067631e+01,        -7.942144308775e-02,        +1.155101727683e+02
 1.16000000e+01,        -3.533281013358e+01,        +1.944277886878e+01,        -8.020058887884e-02,        +1.133837435481e+02
 1.17000000e+01,        -3.575859951243e+01,        +1.685589024968e+01,        -8.097143888338e-02,        +1.112571649018e+02
 1.18000000e+01,        -3.622632858523e+01,        +1.420416138474e+01,        -8.173481022466e-02,        +1.091304321354e+02
 1.19000000e+01,        -3.674119099138e+01,        +1.147279994003e+01,        -8.249155873343e-02,        +1.070035410275e+02
 1.20000000e+01,        -3.730953709414e+01,        +8.642235520322e+00,        -8.324257335430e-02,        +1.048764878511e+02
 1.21000000e+01,        -3.793922555292e+01,        +5.686041428620e+00,        -8.398877025210e-02,        +1.027492693929e+02
 1.22000000e+01,        -3.864011106265e+01,        +2.567685169894e+00,        -8.473108664955e-02,        +1.006218829698e+02
 1.23000000e+01,        -3.942472913413e+01,        -7.647269058128e-01,        -8.547047443019e-02,        +9.849432644147e+01
 1.24000000e+01,        -4.030926361957e+01,        -4.387283382564e+00,        -8.620789354257e-02,        +9.636659822072e+01
 1.25000000e+01,        -4.131490241480e+01,        -8.415785781157e+00,        -8.694430524394e-02,        +9.423869727961e+01
 1.26000000e+01,        -4.246964629513e+01,        -1.303440339110e+01,        -8.768066522312e-02,        +9.211062315246e+01
 1.27000000e+01,        -4.381029439558e+01,        -1.855155881967e+01,        -8.841791664446e-02,        +8.998237593515e+01
 1.28000000e+01,        -4.538265371411e+01,        -2.551492141586e+01,        -8.915698315571e-02,        +8.785395628082e+01
 1.29000000e+01,        -4.723048149029e+01,        -3.495505281799e+01,        -8.989876190378e-02,        +8.572536539175e+01
 1.30000000e+01,        -4.933127998461e+01,        -4.885378556494e+01,        -9.064411660363e-02,        +8.359660500757e+01
