        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J)
 5.50000000e+00,        +2.945823566713e-11,        +2.951129619679e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+00,        +2.944978532441e-11,        +2.951533347299e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.70000000e+00,        +2.944086825074e-11,        +2.951967856767e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.80000000e+00,        +2.943152075616e-11,        +2.952429454640e-11,        +0.000000000000e+00,        +0.000000000000e+00
 5.90000000e+00,        +2.942178124870e-11,        +2.952914292081e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.941169004234e-11,        +2.953418386943e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+00,        +2.940128915511e-11,        +2.953937646596e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.20000000e+00,        +2.939062209818e-11,        +2.954467891353e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.30000000e+00,        +2.937973365721e-11,        +2.955004878367e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.40000000e+00,        +2.936866966695e-11,        +2.955544325868e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.50000000e+00,        +2.935747678036e-11,        +2.956081937574e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+00,        +2.934620223334e-11,        +2.956613427176e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.70000000e+00,        +2.933489360644e-11,        +2.957134542709e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.80000000e+00,        +2.932359858461e-11,        +2.957641090713e-11,        +0.000000000000e+00,        +0.000000000000e+00
 6.90000000e+00,        +2.931236471642e-11,        +2.958128960015e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.00000000e+00,        +2.930123917382e-11,        +2.958594145005e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e+00,        +2.929026851391e-11,        +2.959032768281e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.20000000e+00,        +2.927949844371e-11,        +2.959441102522e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.30000000e+00,        +2.926897358936e-11,        +2.959815591474e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.40000000e+00,        +2.925873727088e-11,        +2.960152869922e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.50000000e+00,        +2.924883128355e-11,        +2.960449782553e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e+00,        +2.923929568727e-11,        +2.960703401575e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.70000000e+00,        +2.923016860473e-11,        +2.960911043033e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.80000000e+00,        +2.922148602966e-11,        +2.961070281702e-11,        +0.000000000000e+00,        +0.000000000000e+00
 7.90000000e+00,        +2.921328164600e-11,        +2.961178964487e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.00000000e+00,        +2.920558665889e-11,        +2.961235222264e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e+00,        +2.919842963857e-11,        +2.961237480093e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.20000000e+00,        +2.919183637763e-11,        +2.961184465752e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.30000000e+00,        +2.918582976271e-11,        +2.961075216551e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.40000000e+00,        +2.918042966096e-11,        +2.960909084391e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.50000000e+00,        +2.917565282208e-11,        +2.960685739056e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.60000000e+00,        +2.917151279629e-11,        +2.960405169706e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.70000000e+00,        +2.916801986867e-11,        +2.960067684596e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.80000000e+00,        +2.916518101018e-11,        +2.959673909001e-11,        +0.000000000000e+00,        +0.000000000000e+00
 8.90000000e+00,        +2.916299984566e-11,        +2.959224781398e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.00000000e+00,        +2.916147663886e-11,        +2.958721547899e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e+00,        +2.916060829464e-11,        +2.958165755000e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.20000000e+00,        +2.916038837824e-11,        +2.957559240687e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.30000000e+00,        +2.916080715168e-11,        +2.956904123941e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.40000000e+00,        +2.916185162681e-11,        +2.956202792726e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.50000000e+00,        +2.916350563510e-11,        +2.955457890524e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+00,        +2.916574991351e-11,        +2.954672301496e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.70000000e+00,        +2.916856220614e-11,        +2.953849134359e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.80000000e+00,        +2.917191738120e-11,        +2.952991705074e-11,        +0.000000000000e+00,        +0.000000000000e+00
 9.90000000e+00,        +2.917578756259e-11,        +2.952103518443e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+01,        +2.918014227557e-11,        +2.951188248719e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.01000000e+01,        +2.918494860576e-11,        +2.950249719348e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.02000000e+01,        +2.919017137055e-11,        +2.949291881943e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.03000000e+01,        +2.919577330241e-11,        +2.948318794620e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.04000000e+01,        +2.920171524280e-11,        +2.947334599813e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.05000000e+01,        +2.920795634604e-11,        +2.946343501692e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+01,        +2.921445429207e-11,        +2.945349743305e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.07000000e+01,        +2.922116550689e-11,        +2.944357583574e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.08000000e+01,        +2.922804538985e-11,        +2.943371274275e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.09000000e+01,        +2.923504854655e-11,        +2.942395037115e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.924212902616e-11,        +2.941433041050e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.11000000e+01,        +2.924924056212e-11,        +2.940489379949e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+01,        +2.925633681490e-11,        +2.939568050736e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.13000000e+01,        +2.926337161571e-11,        +2.938672932134e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.14000000e+01,        +2.927029920993e-11,        +2.937807764105e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.15000000e+01,        +2.927707449894e-11,        +2.936976128130e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+01,        +2.928365327935e-11,        +2.936181428400e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.17000000e+01,        +2.928999247811e-11,        +2.935426874051e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.18000000e+01,        +2.929605038262e-11,        +2.934715462523e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.19000000e+01,        +2.930178686441e-11,        +2.934049964131e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+01,        +2.930716359537e-11,        +2.933432907946e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+01,        +2.931214425530e-11,        +2.932866569048e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.22000000e+01,        +2.931669472981e-11,        +2.932352957228e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.23000000e+01,        +2.932078329734e-11,        +2.931893807201e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.24000000e+01,        +2.932438080443e-11,        +2.931490570374e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.25000000e+01,        +2.932746082824e-11,        +2.931144408230e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+01,        +2.932999982533e-11,        +2.930856187339e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.27000000e+01,        +2.933197726603e-11,        +2.930626476049e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+01,        +2.933337575339e-11,        +2.930455542858e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.29000000e+01,        +2.933418112631e-11,        +2.930343356468e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.30000000e+01,        +2.933438254585e-11,        +2.930289587544e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+01,        +2.933397256457e-11,        +2.930293612136e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.32000000e+01,        +2.933294717814e-11,        +2.930354516763e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.33000000e+01,        +2.933130585895e-11,        +2.930471105121e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.34000000e+01,        +2.932905157158e-11,        +2.930641906369e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+01,        +2.932619076965e-11,        +2.930865184953e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+01,        +2.932273337430e-11,        +2.931138951898e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+01,        +2.931869273410e-11,        +2.931460977510e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+01,        +2.931408556653e-11,        +2.931828805401e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+01,        +2.930893188137e-11,        +2.932239767765e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+01,        +2.930325488622e-11,        +2.932691001794e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+01,        +2.929708087453e-11,        +2.933179467163e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+01,        +2.929043909682e-11,        +2.933701964447e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+01,        +2.928336161553e-11,        +2.934255154386e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+01,        +2.927588314433e-11,        +2.934835577864e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +2.926804087266e-11,        +2.935439676494e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+01,        +2.925987427629e-11,        +2.936063813675e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.47000000e+01,        +2.925142491508e-11,        +2.936704296004e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.48000000e+01,        +2.924273621875e-11,        +2.937357394909e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.49000000e+01,        +2.923385326188e-11,        +2.938019368377e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +2.922482252939e-11,        +2.938686482643e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+01,        +2.921569167353e-11,        +2.939355033720e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+01,        +2.920650926386e-11,        +2.940021368636e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+01,        +2.919732453144e-11,        +2.940681906252e-11,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+01,        +2.918818710858e-11,        +2.941333157546e-11,        +0.000000000000e+00,        +0.000000000000e+00
