        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A),               Re{I[2]} (A),               Im{I[2]} (A)
 4.50000000e+00,        +1.414213562373e-01,        +1.414547249727e-01,        -6.569113922694e-05,        -1.398585616886e-02,        -1.405096490474e-01
 4.60000000e+00,        +1.414213562373e-01,        +1.413866635634e-01,        -5.992767214168e-05,        -1.918900884798e-02,        -1.398836110840e-01
 4.70000000e+00,        +1.414213562373e-01,        +1.413164758101e-01,        -4.870570708757e-05,        -2.436493927983e-02,        -1.390646995673e-01
 4.80000000e+00,        +1.414213562373e-01,        +1.412445956148e-01,        -3.177907583049e-05,        -2.950648538961e-02,        -1.380540731171e-01
 4.90000000e+00,        +1.414213562373e-01,        +1.411714812011e-01,        -8.936313449897e-06,        -3.460653333298e-02,        -1.368531573609e-01
 5.00000000e+00,        +1.414213562373e-01,        +1.410976123237e-01,        +1.999711212843e-05,        -3.965802754871e-02,        -1.354636430113e-01
 5.10000000e+00,        +1.414213562373e-01,        +1.410234872810e-01,        +5.515679612140e-05,        -4.465398074466e-02,        -1.338874835544e-01
 5.20000000e+00,        +1.414213562373e-01,        +1.409496197516e-01,        +9.663763517105e-05,        -4.958748380148e-02,        -1.321268925531e-01
 5.30000000e+00,        +1.414213562373e-01,        +1.408765354717e-01,        +1.444923232010e-04,        -5.445171557770e-02,        -1.301843405635e-01
 5.40000000e+00,        +1.414213562373e-01,        +1.408047687765e-01,        +1.987301185139e-04,        -5.923995260026e-02,        -1.280625516694e-01
 5.50000000e+00,        +1.414213562373e-01,        +1.407348590268e-01,        +2.593158940757e-04,        -6.394557862395e-02,        -1.257644996371e-01
 5.60000000e+00,        +1.414213562373e-01,        +1.406673469448e-01,        +3.261694811069e-04,        -6.856209404347e-02,        -1.232934036942e-01
 5.70000000e+00,        +1.414213562373e-01,        +1.406027708819e-01,        +3.991653141898e-04,        -7.308312514160e-02,        -1.206527239380e-01
 5.80000000e+00,        +1.414213562373e-01,        +1.405416630444e-01,        +4.781323841173e-04,        -7.750243315715e-02,        -1.178461563793e-01
 5.90000000e+00,        +1.414213562373e-01,        +1.404845457021e-01,        +5.628545026557e-04,        -8.181392315641e-02,        -1.148776276278e-01
 6.00000000e+00,        +1.414213562373e-01,        +1.404319274061e-01,        +6.530708813027e-04,        -8.601165269199e-02,        -1.117512892270e-01
 6.10000000e+00,        +1.414213562373e-01,        +1.403842992396e-01,        +7.484770239917e-04,        -9.008984023331e-02,        -1.084715116480e-01
 6.20000000e+00,        +1.414213562373e-01,        +1.403421311310e-01,        +8.487259315457e-04,        -9.404287335308e-02,        -1.050428779499e-01
 6.30000000e+00,        +1.414213562373e-01,        +1.403058682522e-01,        +9.534296135385e-04,        -9.786531665492e-02,        -1.014701771199e-01
 6.40000000e+00,        +1.414213562373e-01,        +1.402759275289e-01,        +1.062160901081e-03,        -1.015519194274e-01,        -9.775839710173e-02
 6.50000000e+00,        +1.414213562373e-01,        +1.402526942877e-01,        +1.174455551948e-03,        -1.050976230103e-01,        -9.391271752671e-02
 6.60000000e+00,        +1.414213562373e-01,        +1.402365190642e-01,        +1.289814637387e-03,        -1.084975678605e-01,        -8.993850215992e-02
 6.70000000e+00,        +1.414213562373e-01,        +1.402277145949e-01,        +1.407707197965e-03,        -1.117471003034e-01,        -8.584129107514e-02
 6.80000000e+00,        +1.414213562373e-01,        +1.402265530167e-01,        +1.527573153844e-03,        -1.148417789599e-01,        -8.162679257364e-02
