        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.)
 1.00000000e+00,        -2.709811754529e+01,        +8.422326030972e+01,        -2.044431134392e-02,        -3.996739371309e+00
 2.00000000e+00,        -2.119181241956e+01,        +8.078834925922e+01,        -5.023721378662e-02,        -7.933318472011e+00
 3.00000000e+00,        -1.775441334738e+01,        +7.710976853609e+01,        -9.458312847124e-02,        -1.183975032493e+01
 4.00000000e+00,        -1.534098803910e+01,        +7.337701175408e+01,        -1.534472671729e-01,        -1.571100016404e+01
 5.00000000e+00,        -1.349636959416e+01,        +6.964397224542e+01,        -2.263256062575e-01,        -1.954027306106e+01
 6.00000000e+00,        -1.201685815987e+01,        +6.593571258111e+01,        -3.124849373160e-01,        -2.332083147660e+01
 7.00000000e+00,        -1.079314439183e+01,        +6.226718560514e+01,        -4.110435227236e-01,        -2.704653727625e+01
 8.00000000e+00,        -9.759454869599e+00,        +5.864853814569e+01,        -5.210186131872e-01,        -3.071207810482e+01
 9.00000000e+00,        -8.872917091286e+00,        +5.508706075996e+01,        -6.413629318486e-01,        -3.431306437034e+01
 1.00000000e+01,        -8.103873978621e+00,        +5.158805429360e+01,        -7.709953699386e-01,        -3.784605410860e+01
 1.10000000e+01,        -7.430844720136e+00,        +4.815528748113e+01,        -9.088271746556e-01,        -4.130853087000e+01
 1.20000000e+01,        -6.837692518519e+00,        +4.479128291752e+01,        -1.053783893261e+00,        -4.469884958693e+01
 1.30000000e+01,        -6.311933448089e+00,        +4.149752434712e+01,        -1.204823159953e+00,        -4.801616125886e+01
 1.40000000e+01,        -5.843675834542e+00,        +3.827462390070e+01,        -1.360948484589e+00,        -5.126032499486e+01
 1.50000000e+01,        -5.424927153208e+00,        +3.512246566439e+01,        -1.521219327669e+00,        -5.443181422420e+01
 1.60000000e+01,        -5.049124808478e+00,        +3.204033244138e+01,        -1.684757853591e+00,        -5.753162237128e+01
 1.70000000e+01,        -4.710808479664e+00,        +2.902701849568e+01,        -1.850752821592e+00,        -6.056117192504e+01
 1.80000000e+01,        -4.405384923017e+00,        +2.608092943676e+01,        -2.018461099439e+00,        -6.352222962704e+01
 1.90000000e+01,        -4.128954909393e+00,        +2.320016987241e+01,        -2.187207275726e+00,        -6.641682948336e+01
 2.00000000e+01,        -3.878183014459e+00,        +2.038261939586e+01,        -2.356381812278e+00,        -6.924720448185e+01
 2.10000000e+01,        -3.650197672449e+00,        +1.762599758234e+01,        -2.525438128383e+00,        -7.201572726518e+01
 2.20000000e+01,        -3.442513078278e+00,        +1.492791880944e+01,        -2.693888951362e+00,        -7.472485955196e+01
 2.30000000e+01,        -3.252967189145e+00,        +1.228593782558e+01,        -2.861302209632e+00,        -7.737710978867e+01
 2.40000000e+01,        -3.079671817545e+00,        +9.697587052313e+00,        -3.027296688898e+00,        -7.997499832579e+01
 2.50000000e+01,        -2.920971966737e+00,        +7.160406618399e+00,        -3.191537622198e+00,        -8.252102931432e+01
 2.60000000e+01,        -2.775412345984e+00,        +4.671968096311e+00,        -3.353732341227e+00,        -8.501766849010e+01
 2.70000000e+01,        -2.641709545598e+00,        +2.229892854676e+00,        -3.513626080173e+00,        -8.746732603183e+01
 2.80000000e+01,        -2.518728732770e+00,        -1.681341355540e-01,        -3.670997993851e+00,        -8.987234372743e+01
 2.90000000e+01,        -2.405464001028e+00,        -2.524354289216e+00,        -3.825657428561e+00,        -9.223498575041e+01
 3.00000000e+01,        -2.301021703268e+00,        -4.840928526337e+00,        -3.977440466143e+00,        -9.455743242352e+01
 3.10000000e+01,        -2.204606243460e+00,        -7.119932947105e+00,        -4.126206748129e+00,        -9.684177642417e+01
 3.20000000e+01,        -2.115507910700e+00,        -9.363356569089e+00,        -4.271836577073e+00,        -9.909002096173e+01
 3.30000000e+01,        -2.033092421602e+00,        -1.157310070889e+01,        -4.414228285195e+00,        -1.013040795265e+02
 3.40000000e+01,        -1.956791900397e+00,        -1.375097965817e+01,        -4.553295855829e+00,        -1.034857768746e+02
 3.50000000e+01,        -1.886097075472e+00,        -1.589872236376e+01,        -4.688966780284e+00,        -1.056368509690e+02
 3.60000000e+01,        -1.820550510013e+00,        -1.801797487347e+01,        -4.821180131101e+00,        -1.077589556473e+02
 3.70000000e+01,        -1.759740715505e+00,        -2.011030335386e+01,        -4.949884832066e+00,        -1.098536638292e+02
 3.80000000e+01,        -1.703297021830e+00,        -2.217719752430e+01,        -5.075038105321e+00,        -1.119224711136e+02
 3.90000000e+01,        -1.650885098090e+00,        -2.422007438403e+01,        -5.196604076345e+00,        -1.139667996459e+02
 4.00000000e+01,        -1.602203034948e+00,        -2.624028213576e+01,        -5.314552518316e+00,        -1.159880021641e+02
